name,salts,packaging_form,quantity,retail_price,cluster_id
dolonik 20mg tablet dt,piroxicam (20mg),strip,10.0 tablet dt in 1 strip,46.0,1
dolonik 40mg injection,piroxicam-40mg,Vial | Injection,2,31.0,2
dolonil 50mg capsules,diacerein(50.0 mg),STRIP,10 Capsule(s) in Strip,40.0,1
dolonim 100mg capsule,nimesulide 100mg,strip,100,38.5,1
dolonim 200mg capsule sr,nimesulide 200mg,strip,200,39.0,1
dolonim 50mg syrup,nimesulide (50mg),bottle,60.0 ml in 1 bottle,15.0,0
dolonim active gel,aconitum napellus dh20 2. arsenicum album dh18 3. asafoetida dh20 4. calcarea carbonica dh16 5. conium maculatum . ipecacuanha dh13 7. phosphoru,TUBE,30g Gel in Tube,62.0,3
dolonim dt 100mg strip of 15 tablets,nimesulide(100.0 mg),STRIP,15 Tablet(s) in Strip,45.87,1
dolonim gold 100500 mg tablet 10,nimesulide(100.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,37.0,4
dolonim mr 100mg2mg tablet,nimesulide (100mg) + tizanidine (2mg),strip,2,143.3909250764526,1
dolonim p 100mg500mg tablet,nimesulide (100mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,25.0,4
dolonim tablet,nimesulide na,strip,10 tablets,45.87,1
dolonim tablets,nimesulide + paracetamol,STRIP,10 Tablet(s) in Strip,32.0,4
dolonip 20mg injection,piroxicam (20mg),injection,2.0 ml in 1 vial,28.4,2
dolonip 20mg tablet,piroxicam (20mg),strip,10.0 tablets in 1 strip,49.4,1
dolonip 500mg tablet,paracetamol/acetaminophen 500mg,strip,500,45.0,4
dolonip tablets,paracetamol + tramadol,STRIP,10 Tablet(s) in Strip,45.0,4
dolonismr tablet 10s,chlorzoxazone-500mg + diclofenac-50mg + paracetamol-325mg,Strip | Tablet,10,165.0,4
dolonix mf oral suspension,mefenamic acid (100mg) + paracetamol (250mg),bottle,60.0 ml in 1 bottle,43.9,0
dolono 40mg injection,piroxicam (40mg),injection,2.0 ml in 1 vial,45.0,2
dolonol tablet,caffeine-25mg + paracetamol-325mg,Strip | Tablet,10,34.3,4
dolonovasp tablet 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,90.0,4
dolonx cd tablet,piroxicam na,strip,10 tablets,58.21,1
dolop plus 325mg375mg tablet,"paracetamol/acetaminophen 325mg,tramadol 37.5mg",strip,375,9.52,4
dolop plus 375mg325mg tablet,tramadol (37.5mg) + paracetamol (325mg),strip,325,143.3909250764526,4
dolopac 50 mg500 mg tablet,diclofenac (50mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,33.75,4
dolopac mr 250mg50mg500mg tablet,chlorzoxazone (250mg) + diclofenac (50mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,35.0,4
dolopac sp 5010 mg tablet 10,diclofenac(50.0 mg) + serratiopeptidase(10.0 mg),STRIP,10 Tablet(s) in Strip,59.0,1
dolopac sp 50 mg10 mg tablet,diclofenac (50mg) + serratiopeptidase (10mg),strip,10.0 tablets in 1 strip,60.0,1
dolopar 120 oral suspension 60 ml,paracetamol-120mg,Bottle | Oral Suspension,60,40.0,0
dolopar 125mg suspension 60ml,paracetamol / acetaminophen(125.0 mg),BOTTLE,60ml Suspension in Bottle,22.85,0
dolopar 125 mg syrup 60 ml,paracetamol-125mg,Bottle | Syrup,60,23.0,0
dolopar 125 oral suspension,paracetamol/acetaminophen 125mg/5ml,bottle,125,22.18,0
dolopar 15625mg syrup 60ml,paracetamol,BOTTLE,60ml Syrup in Bottle,33.0,0
dolopar 250mg suspension 60ml,paracetamol / acetaminophen(250.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,45.02,0
dolopar 250 suspension,paracetamol (250mg/5ml),bottle,100.0 ml in 1 bottle,143.3909250764526,0
dolopar250 suspension 100 ml,paracetamol-250mg,Bottle | Suspension,100,75.0,0
dolopar250 suspension 60 ml,paracetamol-250mg,Bottle | Suspension,60,45.0,0
dolopar 650mg strip of 10 tablets,paracetamol / acetaminophen(650.0 mg),STRIP,10 Tablet(s) in Strip,32.42,4
dolopar 650mg strip of 15 tablets,paracetamol / acetaminophen(650.0 mg),STRIP,15 Tablet(s) in Strip,30.07,4
dolopar 650 tablet,paracetamol (650mg),strip,15.0 tablets in 1 strip,33.6,4
dolopar650 tablet 15s,paracetamol-650mg,Strip | Tablet,15,33.5,4
dolopar cc tablet,"paracetamol na, caffeine na, phenylephrine na",strip,10 tablets,20.17,4
dolopar cc tablets,caffeine(30.0 mg) + phenylephrine(10.0 mg) + chlorpheniramine / chlorphenamine(2.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,20.17,4
dolopar drops,paracetamol/acetaminophen 100mg/ml,bottle,100 ml,33.5,0
dolopar drops 15 ml,paracetamol-100mg,Bottle | Oral Drops,15,30.0,0
dolopar gel,diclofenac(1.16 %) + menthol(5.0 %) + methyl salicylate(10.0 %) + linseed oil(3.0 %),TUBE,30g Gel in Tube,104.0,3
dolopar gel 30 gm,capsaicin-0.025%w/w + diclofenac sodium-1%w/w + linseed oil-3%w/w + menthol-5%w/w + methyl salicylate-10%w/w,Tube | Gel,30,104.0,3
dolopar m ds suspension,mefenamic acid (100mg/5ml) + paracetamol (250mg/5ml),bottle,60.0 ml in 1 bottle,63.0,0
dolopar m suspension,mefenamic acid (50mg/5ml) + paracetamol (125mg/5ml),bottle,60.0 ml in 1 bottle,56.5,0
dolopar m suspension 60ml,paracetamol / acetaminophen(125.0 mg/5ml) + mefenamic acid(50.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,55.65,0
dolopar m suspension 60 ml,mefenamic acid-50mg + paracetamol-125mg,Bottle | Suspension,60,56.5,0
dolopar mds suspension 60ml,mefenamic acid(100.0 mg/5ml) + paracetamol / acetaminophen(250.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,53.0,0
doloparmds suspension 60ml,mefenamic acid-100mg + paracetamol-250mg,Bottle | Suspension,60,63.0,0
dolopar ointment 30 gm,menthol(5.0 %) + methyl salicylate(10.0 %) + capsaicin(0.025 %) + linseed oil(1.0 %) + diclofenac(1.16 %),TUBE,30g Ointment in Tube,76.18,3
dolopar oral suspension,paracetamol (120mg/5ml),bottle,60.0 ml in 1 bottle,40.32,0
dolopar plus 10 mg capsule 10,caffeine + paracetamol,STRIP,10 Capsule(s) in Strip,26.66,4
dolopar plus capsule,"caffeine na,paracetamol/acetaminophen 10mg",strip,10 tablets,26.66,4
dolopar strip of 10 tablets,caffeine(25.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,53.0,4
dolopar strip of 15 tablets,caffeine(25.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,15 Tablet(s) in Strip,58.0,4
dolopar tablet,"paracetamol 500mg, caffeine 25mg",strip,10 tablets,49.0,4
dolopar tablet 10s,caffeine-25mg + paracetamol-500mg,Strip | Tablet,10,32.5,4
dolopar tablet 15s,caffeine-25mg + paracetamol-500mg,Strip | Tablet,15,58.0,4
dolopax d capsule,diclofenac (50mg) + paracetamol (250mg) + dextropropoxyphene (32.5mg),strip,10 tablets,143.3909250764526,4
dolopax d capsules,dextropropoxyphene + diclofenac + paracetamol,STRIP,10 Capsule(s) in Strip,16.0,4
dolopee gel 10gm,diclofenac + linseed oil + menthol + methyl salicylate,TUBE,10g Gel in Tube,4.26,3
dolopee gel 30gm,diclofenac + linseed oil + menthol + methyl salicylate,TUBE,30g Gel in Tube,48.0,3
dolopee tablet,diclofenac (50mg) + paracetamol (325mg) + chlorpheniramine maleate (4mg) + magnesium trisilicate (100mg),strip,10 tablets,143.3909250764526,4
dolopee tablets,chlorpheniramine + diclofenac sodium + magnesium trisilicate + paracetamol,STRIP,10 Tablet(s) in Strip,4.26,4
dolopent 30mg injection,pentazocine (30mg),injection,30,143.3909250764526,2
dolopent injection 1 ml,pentazocine-30mg,Vial | Injection,1,30.0,2
dolophob gel,heparin(0.01 mg) + diclofenac(200.0 iu),TUBE,20g Gel in Tube,459.0,3
dolopic dt tablets,piroxicam,STRIP,10 Tablet(s) in Strip,32.5,1
dolopir 20mg injection,piroxicam (20mg),injection,20,143.3909250764526,2
dolopir injection,piroxicam(20.0 mg),INJECTION,2ml Injection,26.0,2
dolopir md 20mg tablets,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,62.0,1
dolopir md tablet,piroxicam (20mg),strip,10.0 tablet md in 1 strip,32.0,1
doloplan 20mg tablet,duloxetine (20mg),strip,10.0 tablets in 1 strip,48.55,1
doloplus 50mg325mg tablet,diclofenac (50mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,10.0,4
dolopolo 650mg strip of 10 tablets,paracetamol / acetaminophen(650.0 mg),STRIP,10 Tablet(s) in Strip,22.84,4
dolopolo 650mg tablet,paracetamol 650mg,strip,650,17.9,4
dolopolo 650 tablet 10s,paracetamol-650mg,Strip | Tablet,10,224.0,4
dolopot mr tablet,chlorzoxazone-250mg + diclofenac-50mg + paracetamol-500mg,Strip | Tablet,10,38.0,4
dolopred eye drop 10ml,prednisolon(1.0 %),BOTTLE,10ml Eye Drop in Bottle,34.16,0
doloprex 20mg injection,piroxicam-20mg,Vial | Injection,2,25.0,2
dolopyrin250 suspension 60 ml,paracetamol-250mg,Bottle | Suspension,60,45.0,0
doloqueen 100mg500mg tablet,nimesulide (100mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,15.0,4
doloqueen a 100mg500mg tablet,aceclofenac (100mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,37.0,4
doloquik 500mg tablets,paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,9.52,4
doloquik suspension 60ml,paracetamol / acetaminophen(250.0 mg),BOTTLE,60ml Suspension in Bottle,13.75,0
doloquik syrup,paracetamol/acetaminophen 250mg/5ml,bottle,100 ml,28.0,0
doloquit 30gm ointment,diclofenac-1.16% w/w,Tube | Ointment,30,70.0,3
doloral 100mg15mg tablet,"aceclofenac 100mg,serratiopeptidase 15mg",strip,15,55.0,1
doloral 25mg injection 1ml,aceclofenac,INJECTION,1ml Injection,143.3909250764526,2
doloral p 100 mg650 mg tablet,aceclofenac (100mg) + paracetamol (650mg),strip,10.0 tablets in 1 strip,38.7,4
doloral p strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,60.0,4
doloral p tablet,"aceclofenac 100mg,paracetamol/acetaminophen 650mg",strip,10 tablets,35.2,4
doloral p tablet 10s,aceclofenac-100mg + paracetamol-325mg,Strip | Tablet,10,66.0,4
doloral sp 100mg325mg15mg tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,106.0,4
doloralsp tablet 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,106.0,4
doloral tablet,aceclofenac(100.0 mg) + serratiopeptidase(15.0 mg),STRIP,10 Tablet(s) in Strip,55.0,1
dolorap tablet 10s,aceclofenac-100mg + paracetamol-500mg,Strip | Tablet,10,55.0,4
dolorap tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,25.0,4
dolorasep tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,90.0,4
dolorel 50mg325mg tablet,diclofenac (50mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,25.0,4
dolorest 375mg325mg tablet,tramadol (37.5mg) + paracetamol (325mg),strip,325,143.3909250764526,4
doloretard 100mg325mg tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,48.0,4
doloretard tablet 15s,aceclofenac-100mg + paracetamol-325mg,Strip | Tablet,15,56.0,4
dolorgesic mr 100mg325mg250mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg,",strip,250,85.0,4
dolorgesic p 100mg325mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg",strip,325,54.0,4
dolorgesicp tablet 10s,aceclofenac-100mg + paracetamol-325mg,Strip | Tablet,10,56.0,4
dolorgesic sp 100mg325mg15mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg,",strip,15,85.0,4
dolorgesicsp tablet 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,94.0,4
dolorid 100mg500mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 500mg",strip,500,36.0,4
dolorid 50mg325mg tablet,diclofenac-50mg + paracetamol-325mg,Strip | Tablet,10,38.0,4
dolorid mr 250mg50mg325mg tablet,chlorzoxazone-250mg + diclofenac-50mg + paracetamol-325mg,Strip | Tablet,10,63.0,4
doloride th 4 strip of 10 tablets,aceclofenac(100.0 mg) + thiocolchicoside(4.0 mg),STRIP,10 Tablet(s) in Strip,154.0,1
dolorideth8 tablet 10s,aceclofenac-100mg + thiocolchicoside-8mg,Strip | Tablet,10,247.5,1
dolorin 50mg10mg650mg tablet,caffeine (50mg) + domperidone (10mg) + paracetamol (650mg),strip,650,143.3909250764526,4
dolorin suspension 60ml,paracetamol,BOTTLE,60ml Suspension in Bottle,33.5,0
dolorin tablet,"caffeine 50mg, domperidone 10mg, paracetamol/aceta",strip,10 tablets,54.0,4
dolorin tablets,caffeine + domperidone + paracetamol,STRIP,10 Tablet(s) in Strip,49.5,4
doloriso oral suspension sugar free,"sucralfate 1gm,oxetacaine/oxethazaine 10mg",bottle,100 ml,180.0,0
doloroff 125mg tablet,rofecoxib (12.5mg),strip,125,143.3909250764526,1
doloroff 125mg tablets,rofecoxib(12.5 mg),STRIP,10 Tablet(s) in Strip,12.0,1
doloroff 25mg tablet,rofecoxib (25mg),strip,25,143.3909250764526,1
doloroff 25mg tablets,rofecoxib(25.0 mg),STRIP,10 Tablet(s) in Strip,27.0,1
doloroff 50mg tablet,rofecoxib 50mg,strip,50,48.2,1
doloroff 50mg tablets,rofecoxib(50.0 mg),STRIP,10 Tablet(s) in Strip,489.0,1
doloroff ap tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,333.0,4
doloroff asp 100 mg500 mg15 mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 500mg,",strip,15,47.48,4
doloroff asp 100mg500mg15mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 500mg,",strip,15,55.0,4
doloroff asp tablets,aceclofenac + paracetamol + serratiopeptidase,STRIP,10 Tablet(s) in Strip,48.0,4
doloron gel 10gm,diclofenac + linseed oil + menthol + methyl salicylate,TUBE,10g Gel in Tube,14.0,3
doloron gel 30gm,diclofenac + linseed oil + menthol + methyl salicylate,TUBE,30g Gel in Tube,75.0,3
doloron injection,diclofenac(75.0 mg),INJECTION,3ml Injection,143.3909250764526,2
doloron p 50 mg500 mg tablet,diclofenac (50mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,5.75,4
doloron p tablets,diclofenac sodium + paracetamol,STRIP,10 Tablet(s) in Strip,5.75,4
dolorox 20mg tablet,piroxicam 20mg,strip,20,30.0,1
dolorub active gel,diclofenac + linseed oil + menthol + methyl salicylate,TUBE,30g Gel in Tube,67.5,3
dolorylmr tablet,aceclofenac (100mg) + paracetamol (325mg) + chlorzoxazone (250mg),strip,10 tablets,143.3909250764526,4
dolorylp tablet,"aceclofenac 100mg,paracetamol/acetaminophen 500mg",strip,10 tablets,31.9,4
dolosac 75mg injection,diclofenac sodium,INJECTION,3ml Injection,12.0,2
dolosac gel,diclofenac + linseed oil + menthol + methyl salicylate,TUBE,30g Gel in Tube,82.5,3
dolosacp 25mg75mg injection,diclofenac (25mg) + paracetamol (75mg),injection,75,143.3909250764526,2
dolosac p injection,piroxicam,INJECTION,2ml Injection,19.9,2
dolosacpx 20mg injection,piroxicam (20mg),injection,20,143.3909250764526,2
dolosacpx 20mg tablet dt,piroxicam-20mg,Strip | Tablet,10,49.9,1
dolosac px dt tablets,piroxicam,STRIP,10 Tablet(s) in Strip,49.9,1
dolosac px injection,piroxicam,INJECTION,2ml Injection,23.0,2
dolosac tablets,chlorzoxazone + diclofenac potassium + paracetamol,STRIP,10 Tablet(s) in Strip,4.0,4
dolosactr 50mg injection,tramadol (50mg),injection,50,143.3909250764526,2
dolosac tr injection,tramadol,INJECTION,2ml Injection,143.3909250764526,2
dolosactrp 325mg375mg tablet,"paracetamol/acetaminophen 325mg,tramadol 37.5mg",strip,375,50.0,4
dolosactrp 375mg325mg tablet,tramadol (37.5mg) + paracetamol (325mg),strip,325,143.3909250764526,4
dolosac trp tablets,paracetamol + tramadol,STRIP,10 Tablet(s) in Strip,50.0,4
dolosafe 375mg325mg tablet,tramadol (37.5mg) + paracetamol (325mg),strip,325,143.3909250764526,4
dolosafe d tablet,tramadol (37.5mg) + paracetamol (325mg),strip,10 tablets,143.3909250764526,4
dolosafe d tablets,tramadol(37.5 mg) + domperidone(10.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,104.5,4
dolosafe tablet,tramadol(37.5 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,43.45,4
dolosafe tablet 10s,paracetamol-325mg + tramadol-37.5mg,Strip | Tablet,10,162.0,4
dolosaid p strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,59.0,4
dolosaid sp strip of 10 tablets,serratiopeptidase(10.0 mg) + aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,102.0,4
dolosaid tp 4mg strip of 10 tablets,aceclofenac(100.0 mg) + thiocolchicoside(4.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,185.0,4
dolosaid tp 8mg strip of 10 tablets,aceclofenac(100.0 mg) + thiocolchicoside(8.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,235.0,4
dolosal gel 30 gm,aceclofenac-1.5%w/w + capsaicin-0.01%w/w + linseed oil-3%w/w + menthol-5%w/w + methyl salicylate-10%w/w,Tube | Gel,30,110.0,3
dolosal injection,tramadol,INJECTION,2ml Injection,27.0,2
dolosal mr strip of 10 tablets,gloria superba(8.0 mg) + boswelia serrata(400.0 mg) + curcuma longa(25.0 mg),STRIP,10 Tablet(s) in Strip,295.0,1
dolosal p 375mg325mg tablet,tramadol (37.5mg) + paracetamol (325mg),strip,325,143.3909250764526,4
dolosal p tablets,paracetamol + tramadol,STRIP,10 Tablet(s) in Strip,55.0,4
dolosan 400mg325mg tablet,"ibuprofen 400mg,paracetamol/acetaminophen 325mg",strip,325,8.7,4
dolosant p bottle of 60ml suspension,aceclofenac(100.0 mg) + paracetamol / acetaminophen(125.0 mg),BOTTLE,60ml Suspension in Bottle,52.0,0
dolosant p suspension,"aceclofenac 100mg/5ml,paracetamol/acetaminophen 12",bottle,100 ml,35.5,0
dolosap tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg,",strip,10 tablets,100.0,4
dolosap tablet 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,100.0,4
doloscan 50mg tablet,tapentadol (50mg),strip,50,143.3909250764526,1
doloscan50 tablet 10s,tapentadol-50mg,Strip | Tablet,10,180.0,1
dolosec sp 100mg500mg15mg tablet,aceclofenac (100mg) + paracetamol (500mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,60.0,4
dolosec tablet,"domperidone 10mg,paracetamol/acetaminophen 325mg,t",strip,10 tablets,80.0,4
dolosen 650mg tablet,paracetamol (650mg),strip,10.0 tablets in 1 strip,16.0,4
dolosen p 50mg325mg tablet,diclofenac (50mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,36.0,4
doloser ap 100mg325mg15mg tablet,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,79.0,4
doloserch 100mg375mg tablet,nimesulide (100mg) + paracetamol (375mg),strip,375,143.3909250764526,4
doloserch mf oral suspension,mefenamic acid (50mg) + paracetamol (125mg),bottle,100 ml,143.3909250764526,0
doloserch mf syrup 60ml,mefenamic acid + paracetamol,BOTTLE,60ml Syrup in Bottle,49.0,0
doloserch tablets,nimesulide + paracetamol,STRIP,10 Tablet(s) in Strip,38.0,4
doloset 20mg tablet dt,piroxicam-20mg,Strip | Tablet,10,35.0,1
doloset injection,tramadol (50mg),injection,1 vial,143.3909250764526,2
dolosetsr tablet,tramadol 100mg,strip,10 tablets,78.0,1
dolosic mr 100mg325mg250mg tablet,aceclofenac (100mg) + paracetamol (325mg) + chlorzoxazone (250mg),strip,10.0 tablets in 1 strip,88.0,4
dolosic p 100mg325mg tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,38.0,4
dolosic p oral suspension,aceclofenac (50mg) + paracetamol (125mg),bottle,60.0 ml in 1 bottle,50.0,0
dolosic sp 100mg325mg15mg tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,91.0,4
dolosig gel 30 gm,diclofenac-1.16%w/w + linseed oil-3%w/w + menthol-5%w/w + methyl salicylate-10%w/w,Tube | Gel,30,105.0,3
dolosiglp tablet,"lornoxicam 8mg,paracetamol/acetaminophen 325mg",strip,10 tablets,100.0,4
dolosig mr 100mg4mg tablet,aceclofenac (100mg) + thiocolchicoside (4mg),strip,10.0 tablets in 1 strip,205.36,1
dolosig sp 100mg325mg15mg tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,85.0,4
dolosig sp strip of 10 tablets,aceclofenac(100.0 mg) + serratiopeptidase(15.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,100.0,4
dolosmilerb capsule 10s,aceclofenac-200mg + rabeprazole-20mg,Strip | Capsule,10,115.0,1
dolosmile rb tablet,"aceclofenac 200mg,rabeprazole 20mg",strip,10 tablets,86.0,1
dolosmile sp tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,69.0,4
dolospa oral suspension,dicyclomine (10mg) + simethicone (40mg),bottle,30.0 ml in 1 bottle,60.0,0
dolospan 100mg injection,tramadol 100mg,injection,100,21.28,2
dolospan 20mg100mg tablet,dicyclomine (20mg) + nimesulide (100mg),strip,100,143.3909250764526,1
dolospan dp 10mg325mg375mg tablet,"domperidone 10mg,paracetamol/acetaminophen 325mg,t",strip,375,75.0,4
dolospan dp strip of 10 tablets,dicycloverine hydrochloride,STRIP,10 Tablet(s) in Strip,75.0,1
dolospan injection 2ml,tramadol(100.0 mg),INJECTION,2ml Injection,21.28,2
dolospan od strip of 10 tablets,dexketoprofen(75.0 mg),STRIP,10 Tablet(s) in Strip,91.11,1
dolospan od tablet,dexketoprofen 75mg,strip,10 tablets,95.0,1
dolospan p fizz 325375 mg tablet 15,paracetamol + tramadol,STRIP,1000 Tablet(s) in Strip,155.0,4
dolospan p fizz tablet,tramadol (37.5mg) + paracetamol (325mg),strip,10 tablets,143.3909250764526,4
dolospan p fizz tablet 10,paracetamol + tramadol,STRIP,30 Tablet(s) in Strip,155.0,4
dolospan p tablet,"paracetamol/acetaminophen 325mg,tramadol 37.5mg",strip,10 tablets,55.0,4
dolospan p tablet 10s,paracetamol + tramadol,Strip | Tablet,10,55.0,4
dolospan pfizz tablet 15s,acetaminophen-325mg + tramadol hydrochloride-37.5mg,Strip | Tablet,15,155.0,4
dolospan sr strip of 10 tablets,dexketoprofen,STRIP,10 Tablet(s) in Strip,145.0,1
dolospan tablets,nimesulide(100.0 mg) + dicycloverine / dicyclomine(20.0 mg),STRIP,10 Tablet(s) in Strip,72.0,1
dolospark 100mg325mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg",strip,325,7.8,4
dolosparksp 100 mg325 mg15 mg tablet 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,80.0,4
dolosparksp tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg,",strip,10 tablets,14.0,4
dolospark sp tablets,aceclofenac(100.0 mg) + serratiopeptidase(15.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,80.0,4
dolospark tablet 10s,aceclofenac-100mg + paracetamol-325mg,Strip | Tablet,10,49.0,4
dolospark tablets,aceclofenac + paracetamol,STRIP,10 Tablet(s) in Strip,49.0,4
dolosparkth tablet 10s,aceclofenac-100mg + paracetamol-325mg + thiocolchicoside-4mg,Strip | Tablet,10,190.0,4
dolospas 20mg325mg tablet,dicyclomine (20mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,29.5,4
dolospas 20 mg500 mg tablet,dicyclomine (20mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,35.0,4
dolospas drops,dicycloverine + paracetamol,BOTTLE,10ml Oral Drop in Bottle,13.57,0
dolospas spas oral drops,dicyclomine (10mg) + simethicone (40mg),bottle,10.0 ml in 1 bottle,24.0,0
dolospas tablet,dicycloverine / dicyclomine(20.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,72.0,4
dolostan tablet,mefenamic acid (250mg),strip,10.0 tablets in 1 strip,19.9,1
dolostat 100mg tablet,aceclofenac 100mg,strip,100,35.0,1
dolostat 200mg tablet sr,aceclofenac (200mg),strip,10.0 tablet sr in 1 strip,31.95,1
dolostat 200 mg tablet sr 10,aceclofenac(200.0 mg),STRIP,10 Tablet(s) in Strip,36.0,1
dolostat gel 30gm,diclofenac(1.16 %) + methyl salicylate(5.0 %) + menthol(5.0 %) + linseed oil(3.0 %) + capsaicin(0.025 %),TUBE,30g Gel in Tube,68.0,3
dolostat mr 100 mg325 mg500 mg tablet,aceclofenac (100mg) + paracetamol (325mg) + chlorzoxazone (500mg),strip,10.0 tablets in 1 strip,54.0,4
dolostat mr strip of 10 tablets,aceclofenac(100.0 mg) + chlorzoxazone(500.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,54.0,4
dolostat mr tablet 10s,aceclofenac-100mg + chlorzoxazone-500mg + paracetamol-325mg,Strip | Tablet,10,54.0,4
dolostat pc 100 mg325 mg tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,29.5,4
dolostat pc strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,29.5,4
dolostat pc tablet 10s,aceclofenac-100mg + paracetamol-325mg,Strip | Tablet,10,29.5,4
dolostat plus 100 mg325 mg10 mg tablet,aceclofenac (100mg) + paracetamol (325mg) + rabeprazole (10mg),strip,10.0 tablets in 1 strip,32.0,4
dolostat plus gel,capsaicin + diclofenac + linseed oil + menthol + methyl salcylate,TUBE,30g Gel in Tube,80.0,3
dolostat plus r capsule sr,aceclofenac (200mg) + rabeprazole (20mg),strip,10.0 capsule sr in 1 strip,65.0,1
dolostat plus r strip of 10 capsules,rabeprazole(20.0 mg) + aceclofenac(200.0 mg),STRIP,10 Capsule(s) in Strip,78.0,1
dolostat plus tablets,aceclofenac + paracetamol + rabeprazole,STRIP,10 Tablet(s) in Strip,82.99,4
dolostat r 200mg20mg capsule,aceclofenac (200mg) + rabeprazole (20mg),strip,10.0 capsules in 1 strip,71.0,1
dolostat r capsule 10s,aceclofenac-200mg + rabeprazole-20mg,Strip | Capsule,10,78.0,1
